"","IL21","IL22","IL17A","IFN","TNF","IL4"
"m2_fecal_flu_r2_7d",-11.0810261722581,-5.48860174260548,-8.73159382367394,-6.99608497912344,-4.71917013654321,-11.723369991307
"m3_fecal_control_r6_21d_repeatredone",-9.44699605232232,-6.88506466906244,-8.44215065610274,-7.62602131296017,-10.7235412615305,-10.1733794788906
"m1_ileum_mucosa_control_r5_7d",-11.0201212558021,-10.2029237683999,-10.3254144148769,-6.83300965302996,-12.1294042398002,-11.2792376997803
"m2_ileum_luminal_van_r2_7d",-10.4207169702253,-7.93713632457606,-9.57149246626911,-7.1355433493963,-4.96676722357962,-9.74025367867199
"m3_ileum_mucosa_van_r2_7d",-8.47690573973856,-5.437997912236,-7.89192878444426,-7.64423593853423,-1.51799428904308,-11.9744943667551
"m1_ileum_mucosa_psg_r4_7d_repeat",-12.9587023503483,-9.67787026343575,-11.0384008209306,-8.86998995095732,-12.3850031584181,-11.1075336928844
"m2_fecal_van_r6_7d",-9.61607801721922,-7.93713632457606,-9.76736701464289,-8.60453371347725,-7.79762075382014,-8.27538098884705
"m1_fecal_control_r1_7d",-9.53626028076295,-5.48860174260548,-7.94525647594418,-6.3769329291113,-6.39559654420363,-10.9544646294499
"m2_ileum_mucosa_van_r6_21d",-11.8801833541061,-9.43090225865618,-9.82590818408522,-4.54916799587281,-10.9577366042908,-11.3920095640871
"m3_fecal_psg_r6_21d",-13.1897058258746,-10.4063714620293,-11.6886528375,-5.99828777245611,-11.4319724025646,-11.0023618755322
"m2_ileum_luminal_amp_r2_7d",-9.69467013193821,-5.20337816463841,-7.71209327172922,-6.7650931982505,-5.41732390037315,-11.1470123248742
"m4_ileum_mucosa_psg_r4_21d_repeat",-12.2690401347183,-12.9746375787088,-11.4721962747562,-9.50237590700954,-12.474250174324,-11.2500997685173
"m3_fecal_control_r5_7d",-11.8381225061848,-8.58422013945479,-10.7052494267412,-7.13783910840708,-12.3414800825403,-12.7248464391453
"m1_ileum_mucosa_van_r4_7d_repeat",-13.6081874932036,-9.55443478370959,-11.3772850479021,-9.3230388559018,-13.0062305915503,-11.2573379570895
"m1_ileum_mucosa_van_r6_21d_repeatredone",-12.7690199768986,-12.2035099320872,-11.787786084662,-9.8357634856414,-11.47019169905,-11.3004708372016
"m2_ileum_mucosa_van_r5_7d",-12.8572068610569,-13.3154688724055,-12.2976069628838,-8.28145330804917,-12.9057329907726,-12.020390076604
"m1_ileum_mucosa_psg_r6_7d_repeatredone",-12.9587023503483,-9.67787026343575,-11.0384008209306,-8.86998995095732,-12.3850031584181,-11.1075336928844
"m2_ileum_mucosa_control_r4_7d_repeat",-10.9709849687148,-6.40429269599274,-9.51682613083178,-8.25455204220794,-11.7669922489379,-10.541570955921
"m3_ileum_mucosa_van_r5_21d",-13.6823179727285,-11.0490342283935,-12.1816532409894,-6.77383646141635,-10.9876822755962,-12.4688539969663
"m2_fecal_van_r1_7d",-10.4207169702253,-7.93713632457606,-9.57149246626911,-7.1355433493963,-4.96676722357962,-9.74025367867199
"m4_ileum_mucosa_control_r2_7d",-9.11040454336358,-4.05790463494943,-7.53979042711773,-7.67434665204627,-7.22013859739489,-12.1081313846029
"m4_fecal_control_r4_21d_repeat",-9.67585807803763,-7.98175886101891,-8.29350179019919,-7.64423593853423,-11.1436887514693,-9.54579632518837
